evidence_block,dataset_scope,traffic_macro_f1,weak_macro_f1,source_macro_f1,random_macro_f1,source_delta_vs_traffic,source_delta_vs_weak,normal_fpr_signal,interpretation,boundary
Edge-IIoT linear FL v0.2,"Edge-IIoT clean full, 30 rounds x 3 seeds",0.4508,0.4977,0.4706,0.4506,+0.0198,-0.0271,source gate lowest FPR 0.0413 vs traffic 0.0545,Weak CTI positive; source gate helps traffic/FPR but does not beat weak concat.,Linear FL only; source gate not final best on Edge.
Edge-IIoT centralized Torch MLP v0.4,"Edge-IIoT clean full, centralized MLP x 3 seeds",0.8241,0.8245,0.8175,0.8168,-0.0065,-0.0070,source FPR 0.0338 worse than traffic 0.0067,Strong neural traffic baseline; CTI/source gate does not improve neural Edge result.,Neutral/negative for neural CTI claim.
CICIoT2023 rare-family sampled,CICIoT2023 bounded rare-family sample x 3 seeds,0.5619,0.5725,0.5722,0.5614,+0.0103,-0.0003,source/weak FPR about 0.311 vs traffic 0.404,Cross-domain sampled evidence supports weak/source CTI; source gate ties weak concat.,"Bounded sample, not full CICIoT performance."
UNSW-NB15 official split,UNSW official train/test x 3 seeds,0.2230,0.2628,0.2853,0.2330,+0.0623,+0.0225,source FPR 0.4852 vs traffic 0.5259; weak worsens to 0.5384,Source gate positive on Macro-F1 and Normal FPR.,"ECE worsens; random CTI gives small Macro-F1 gain, so causal claim must be cautious."
NF-ToN-IoT NetFlow stress,NF-ToN bounded per-family sample x 3 seeds,0.2849,0.4489,0.4566,0.2986,+0.1716,+0.0077,source FPR 0.1618 vs traffic 0.3118,Strongest positive source-gate evidence under sparse NetFlow features.,"Bounded stress probe, not full-dataset final result."
NF-BoT-IoT NetFlow stress,NF-BoT bounded per-family sample x 3 seeds,0.4895,0.5659,0.5759,0.4954,+0.0865,+0.0100,source FPR 0.0376 vs traffic 0.1304,Positive source-gate evidence with cleaner random negative control.,"Bounded stress probe, not full-dataset final result."
NF-ToN-IoT NetFlow near-full,NF-ToN per-family 100k cap x 3 seeds,0.2121,0.3689,0.3760,0.2317,+0.1639,+0.0071,source FPR 0.1598 vs traffic 0.3131,Strong near-full confirmation: source gate beats traffic/weak/random on Macro-F1/FPR.,"Per-family capped, not full raw-dataset final; ECE worsens vs traffic-only."
NF-BoT-IoT NetFlow near-full,NF-BoT per-family 100k cap x 3 seeds,0.4346,0.4928,0.4870,0.4492,+0.0524,-0.0058,source FPR 0.0330 vs traffic 0.1396 and weak 0.0353,Source gate beats traffic/random and has best Normal FPR/ECE; weak concat has slightly higher Macro-F1.,"Per-family capped; source gate is not uniformly best on F1."
UNSW-NB15 v0.5 calibrated,"UNSW official train/test, train-core validation calibration x 3 seeds",0.2161,0.2690,0.2974,0.2261,+0.0813,+0.0284,source FPR 0.4921 vs traffic 0.5559,Source gate remains strongest after adding validation calibration protocol.,Temperature scaling and raw-hint pruning do not fix source-gate ECE; local and Kaggle replay complete.
UNSW-NB15 v0.6 calibrated gate,"UNSW official train/test, validation-selected alpha x 3 seeds",0.2161,0.2690,0.3029,0.2261,+0.0869,+0.0339,"cal_source_gate FPR 0.4863 vs traffic 0.5559; temp ECE 0.1084 vs traffic 0.0506",Training-time alpha-selected source gate improves UNSW Macro-F1/FPR and beats calibrated random-gate control.,Calibration still not solved; partial positive result only.
UNSW-NB15 v0.7 calibration objective,"UNSW official train/test, composite ECE/Brier alpha objective x 3 seeds",0.2161,n/a,0.3029,0.2261,+0.0869,n/a,"cal_source_gate_ece FPR 0.4863; temp ECE 0.1084 vs traffic 0.0506",v0.7 preserves v0.6 F1/FPR gains and beats calibrated random-gate controls.,Negative/neutral calibration result: composite objective did not improve ECE/Brier over v0.6.
UNSW-NB15 v0.8 post-hoc calibration,"UNSW official train/test, source-gate-binned temperature scaling x 3 seeds",0.2161,n/a,0.3029,0.2261,+0.0869,n/a,"cal_source_gate FPR 0.4863; scalar ECE 0.1084; group3 ECE 0.1067; traffic scalar ECE 0.0506",v0.8 preserves source-gate F1/FPR and tests scalar/group2/group3 post-hoc calibration.,Negative/neutral calibration result: group-binned temperature does not solve source-gate ECE/Brier.
